Surname,Region
მებუკია,სამეგრელო
მეგრელიშვილი,სამეგრელო
მელაია,სამეგრელო
მელაძე,სამეგრელო
მელია,სამეგრელო
მელიავა,სამეგრელო
მელიქია,სამეგრელო
მელიქიძე,სამეგრელო
მელქაძე,სამეგრელო
მერცხულავა,სამეგრელო
მესხი,სამეგრელო
მესხია,სამეგრელო
მეუნარგია,სამეგრელო
მეფარეიშვილი,სამეგრელო
მაფარიშვილი,სამეგრელო
მეფორია,სამეგრელო
მეძველია,სამეგრელო
მზარელუა,სამეგრელო
მიგინეიშვილი,სამეგრელო
მითაგვარია,სამეგრელო
მილდიანი,სამეგრელო
მილორავა,სამეგრელო
მიმინოშვილი,სამეგრელო
მინდილაია,სამეგრელო
მინჯორია,სამეგრელო
მირგატია,სამეგრელო
მირცხულავა,სამეგრელო
მიქავა,სამეგრელო
მიქაია,სამეგრელო
მიქანაძე,სამეგრელო
მიქანძე,სამეგრელო
მიქაუტაძე,სამეგრელო
მიქაცაძე,სამეგრელო
მიქაძე,სამეგრელო
მიქელაძე,სამეგრელო
მიქელბაია,სამეგრელო
